Title,Company,Location,Salary,Match Score,Source,Link
"Mid-Level Software Developer - REMOTE Remote / Telecommute Jobs","Zachary Piper Solutions, LLC","Remote","Not specified",40,"Security Clearance Jobs","https://www.clearancejobs.com/jobs/8378202/mid-level-software-developer-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Software Developer - Hybrid or Remote in CA","UC Santa Barbara","Santa Barbara, California","$77k - $139k",40,"LinkedIn","https://www.linkedin.com/jobs/view/software-developer-hybrid-or-remote-in-ca-at-uc-santa-barbara-4243384412?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Software Developer (DevOps) US CITIZEN ONLY","Redan","Remote, Coos County","$83200 - $99840",40,"Adzuna","https://www.adzuna.com/details/5241085921?utm_medium=api&utm_source=ca69d0f7"
"Software Developer - Early Career","CACI International Inc","Remote","$63k - $130k",35,"Remote Rocketship","https://www.remoterocketship.com/company/caci-2/jobs/software-developer-early-career-united-states?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Software Engineer","ControlShift","Remote","$90000k - $100000k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-software-engineer-controlshift-1093322"
"Sales Development Representative","Colibri Group","1 Remote","$47500k - $67500k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-sales-development-representative-colibri-group-1093321"
"Senior Backend Software Engineer","Bitwise Asset Management","Remote","$67500k - $112500k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-senior-backend-software-engineer-bitwise-asset-management-1093313"
"Senior Application Security Engineer","Loop","Remote","$67500k - $122500k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-senior-application-security-engineer-loop-1093311"
"Virtual Assistant Latin America","Walter","Remote","$10000k - $10000k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-virtual-assistant-latin-america-walter-1093309"
"Senior AI Marketing Video Editor","EverAI","Remote","$50000k - $60000k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-senior-ai-marketing-video-editor-everai-1093304"
"Sales Engineer EN","Tameson","Remote","$47500k - $70000k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-sales-engineer-en-tameson-1093298"
"Lead Data Engineer","Open Architects","Remote","$120000k - $140000k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-lead-data-engineer-open-architects-1093295"
"Senior DevOps Engineer","EasyPost","Remote","$67500k - $95000k",15,"RemoteOK","https://remoteok.io/remote-jobs/remote-senior-devops-engineer-easypost-1093294"
